bg:HellSprite,6.0
grid:<5.0, 15.0>&CastleTile&CastleWall
grid:<6.0, 0.0>&CastleTile&CastleWall
grid:<6.0, 1.0>&CastleTile&
grid:<6.0, 2.0>&CastleTile&
grid:<6.0, 3.0>&CastleTile&
grid:<6.0, 4.0>&CastleTile&CastleWall
grid:<6.0, 5.0>&CastleTile&CastleWall
grid:<6.0, 6.0>&CastleTile&
grid:<6.0, 7.0>&CastleTile&
grid:<6.0, 8.0>&CastleTile&
grid:<6.0, 9.0>&CastleTile&
grid:<6.0, 10.0>&StoneTile&CastleWall
grid:<6.0, 11.0>&CastleTile&CastleWall
grid:<6.0, 12.0>&CastleTile&
grid:<6.0, 13.0>&CastleTile&
grid:<6.0, 14.0>&CastleTile&
grid:<6.0, 15.0>&CastleTile&CastleWall
grid:<7.0, 0.0>&DebugTile&CastleWall
grid:<7.0, 1.0>&CastleTile&
grid:<7.0, 2.0>&CastleTile&
grid:<7.0, 3.0>&CastleTile&
grid:<7.0, 4.0>&CastleTile&CastleWall
grid:<7.0, 5.0>&CastleTile&CastleWall
grid:<7.0, 6.0>&CastleTile&
grid:<7.0, 7.0>&CastleTile&CastleTorch
grid:<7.0, 8.0>&CastleTile&
grid:<7.0, 9.0>&CastleTile&
grid:<7.0, 10.0>&StoneTile&CastleWall
grid:<7.0, 11.0>&CastleTile&CastleWall
grid:<7.0, 12.0>&CastleTile&
grid:<7.0, 13.0>&CastleTile&
grid:<7.0, 14.0>&CastleTile&
grid:<7.0, 15.0>&CastleTile&CastleWall
grid:<8.0, 0.0>&CastleTile&CastleWall
grid:<8.0, 1.0>&CastleTile&
grid:<8.0, 2.0>&CastleTile&
grid:<8.0, 3.0>&CastleTile&
grid:<8.0, 4.0>&CastleTile&CastleWall
grid:<8.0, 5.0>&CastleTile&CastleWall
grid:<8.0, 6.0>&CastleTile&
grid:<8.0, 7.0>&CastleTile&
grid:<8.0, 8.0>&CastleTile&Player
grid:<8.0, 9.0>&CastleTile&
grid:<8.0, 10.0>&StoneTile&CastleWall
grid:<8.0, 11.0>&CastleTile&CastleWall
grid:<8.0, 12.0>&CastleTile&
grid:<8.0, 13.0>&CastleTile&
grid:<8.0, 14.0>&CastleTile&
grid:<8.0, 15.0>&CastleTile&CastleWall
grid:<9.0, 0.0>&CastleTile&CastleWall
grid:<9.0, 1.0>&CastleTile&
grid:<9.0, 2.0>&CastleTile&
grid:<9.0, 3.0>&CastleTile&
grid:<9.0, 4.0>&CastleTile&CastleWall
grid:<9.0, 5.0>&CastleTile&CastleWall
grid:<9.0, 6.0>&CastleTile&
grid:<9.0, 7.0>&CastleTile&
grid:<9.0, 8.0>&CastleTile&
grid:<9.0, 9.0>&CastleTile&
grid:<9.0, 10.0>&StoneTile&CastleWall
grid:<9.0, 11.0>&CastleTile&CastleWall
grid:<9.0, 12.0>&CastleTile&
grid:<9.0, 13.0>&CastleTile&
grid:<9.0, 14.0>&CastleTile&
grid:<9.0, 15.0>&CastleTile&CastleWall
grid:<10.0, 0.0>&CastleTile&CastleWallWindow
grid:<10.0, 1.0>&CastleTile&
grid:<10.0, 2.0>&CastleTile&
grid:<10.0, 3.0>&CastleTile&
grid:<10.0, 4.0>&CastleTile&CastleWall
grid:<10.0, 5.0>&CastleTile&CastleWall
grid:<10.0, 6.0>&CastleTile&CastleWall
grid:<10.0, 7.0>&CastleTile&CastleWall
grid:<10.0, 8.0>&CastleTile&CastleWall
grid:<10.0, 9.0>&CastleTile&CastleWall
grid:<10.0, 10.0>&StoneTile&CastleWall
grid:<10.0, 11.0>&CastleTile&CastleWall
grid:<10.0, 12.0>&CastleTile&
grid:<10.0, 13.0>&CastleTile&
grid:<10.0, 14.0>&CastleTile&
grid:<10.0, 15.0>&CastleTile&CastleWall
grid:<11.0, 0.0>&CastleTile&CastleWall
grid:<11.0, 1.0>&CastleTile&
grid:<11.0, 2.0>&CastleTile&
grid:<11.0, 3.0>&CastleTile&
grid:<11.0, 4.0>&CastleTile&CastleWall
grid:<11.0, 5.0>&CastleTile&CastleWall
grid:<11.0, 6.0>&CastleTile&CastleWall
grid:<11.0, 7.0>&CastleTile&CastleWall
grid:<11.0, 8.0>&CastleTile&CastleWall
grid:<11.0, 9.0>&CastleTile&CastleWall
grid:<11.0, 10.0>&CastleTile&CastleWall
grid:<11.0, 11.0>&CastleTile&CastleWall
grid:<11.0, 12.0>&CastleTile&
grid:<11.0, 13.0>&CastleTile&
grid:<11.0, 14.0>&CastleTile&
grid:<11.0, 15.0>&CastleTile&CastleWallWindow
grid:<12.0, 0.0>&CastleTile&CastleWall
grid:<12.0, 1.0>&CastleTile&
grid:<12.0, 2.0>&CastleTile&
grid:<12.0, 3.0>&CastleTile&
grid:<12.0, 4.0>&CastleTile&
grid:<12.0, 5.0>&CastleTile&
grid:<12.0, 6.0>&CastleTile&
grid:<12.0, 7.0>&CastleTile&
grid:<12.0, 8.0>&CastleTile&
grid:<12.0, 9.0>&CastleTile&
grid:<12.0, 10.0>&CastleTile&
grid:<12.0, 11.0>&CastleTile&
grid:<12.0, 12.0>&CastleTile&
grid:<12.0, 13.0>&CastleTile&
grid:<12.0, 14.0>&CastleTile&
grid:<12.0, 15.0>&StoneTile&CastleWall
grid:<13.0, 0.0>&CastleTile&CastleWall
grid:<13.0, 1.0>&CastleTile&
grid:<13.0, 2.0>&CastleTile&
grid:<13.0, 3.0>&CastleTile&
grid:<13.0, 4.0>&CastleTile&
grid:<13.0, 5.0>&CastleTile&
grid:<13.0, 6.0>&CastleTile&
grid:<13.0, 7.0>&CastleTile&
grid:<13.0, 8.0>&CastleTile&
grid:<13.0, 9.0>&CastleTile&
grid:<13.0, 10.0>&CastleTile&
grid:<13.0, 11.0>&CastleTile&
grid:<13.0, 12.0>&CastleTile&
grid:<13.0, 13.0>&CastleTile&
grid:<13.0, 14.0>&CastleTile&
grid:<13.0, 15.0>&CastleTile&CastleWall
grid:<14.0, 0.0>&CastleTile&CastleWall
grid:<14.0, 1.0>&CastleTile&
grid:<14.0, 2.0>&CastleTile&
grid:<14.0, 3.0>&CastleTile&
grid:<14.0, 4.0>&CastleTile&
grid:<14.0, 5.0>&CastleTile&
grid:<14.0, 6.0>&CastleTile&
grid:<14.0, 7.0>&CastleTile&
grid:<14.0, 8.0>&CastleTile&
grid:<14.0, 9.0>&CastleTile&
grid:<14.0, 10.0>&CastleTile&
grid:<14.0, 11.0>&CastleTile&
grid:<14.0, 12.0>&CastleTile&
grid:<14.0, 13.0>&CastleTile&
grid:<14.0, 14.0>&CastleTile&
grid:<14.0, 15.0>&CastleTile&CastleWall
grid:<15.0, 0.0>&DebugTile&CastleWall
grid:<15.0, 1.0>&CastleTile&CastleWall
grid:<15.0, 2.0>&StoneTile&CastleWall
grid:<15.0, 3.0>&CastleTile&CastleWall
grid:<15.0, 4.0>&CastleTile&CastleWallWindow
grid:<15.0, 5.0>&CastleTile&CastleWall
grid:<15.0, 6.0>&CastleTile&CastleWall
grid:<15.0, 7.0>&CastleTile&CastleWall
grid:<15.0, 8.0>&CastleTile&CastleWall
grid:<15.0, 9.0>&CastleTile&CastleWall
grid:<15.0, 10.0>&CastleTile&CastleWall
grid:<15.0, 11.0>&CastleTile&CastleWallWindow
grid:<15.0, 12.0>&CastleTile&CastleWall
grid:<15.0, 13.0>&CastleTile&CastleWall
grid:<15.0, 14.0>&CastleTile&CastleWall
grid:<15.0, 15.0>&CastleTile&CastleWall
